,年份,分区,项目,合计_surface,农田灌溉_surface,林牧渔畜_surface,工业_surface,城镇公共_surface,居民生活_surface,生态环境_surface,合计_groundwater,农田灌溉_groundwater,林牧渔畜_groundwater,工业_groundwater,城镇公共_groundwater,居民生活_groundwater,生态环境_groundwater
36,2005,河源-兰州,取水量,1.82,0.93,0.66,0.1,0.01,0.12,0.0,0.12,0.0,0.02,0.03,0.02,0.05,0.0
37,2005,河源-兰州,耗水量,1.59,0.84,0.6,0.06,0.01,0.08,0.0,0.07,0.0,0.02,0.01,0.01,0.03,0.0
38,2005,兰州-头道拐,取水量,29.07,20.6,1.47,5.23,0.34,1.31,0.12,6.02,1.42,0.03,2.9,0.44,1.08,0.15
39,2005,兰州-头道拐,耗水量,22.88,15.92,1.22,4.31,0.32,0.99,0.12,3.11,1.19,0.02,1.12,0.15,0.53,0.1
40,2005,头道拐-龙门,取水量,158.51,134.43,11.26,9.56,0.89,1.57,0.8,26.75,13.53,3.29,6.05,0.95,2.55,0.38
41,2005,头道拐-龙门,耗水量,111.8,94.97,8.35,5.63,0.78,1.3,0.77,19.73,11.85,2.87,2.92,0.47,1.33,0.29
42,2005,龙门-三门峡,取水量,9.35,6.02,0.52,2.32,0.07,0.42,0.0,6.47,3.44,0.71,1.36,0.12,0.79,0.05
43,2005,龙门-三门峡,耗水量,7.9,5.27,0.45,1.84,0.06,0.28,0.0,5.24,3.03,0.62,0.84,0.07,0.63,0.05
44,2005,三门峡-花园口,取水量,41.25,28.66,2.78,4.64,1.29,3.26,0.62,51.99,24.06,3.61,13.93,2.04,7.95,0.4
45,2005,三门峡-花园口,耗水量,34.27,24.84,2.42,3.1,1.17,2.13,0.61,36.93,20.21,3.04,6.84,0.99,5.47,0.38
46,2005,花园口-利津,取水量,13.5,7.66,0.53,3.61,0.42,1.02,0.26,17.99,6.55,1.02,7.0,0.44,2.46,0.52
47,2005,花园口-利津,耗水量,12.17,7.31,0.45,2.89,0.4,0.89,0.23,10.61,5.37,0.84,2.18,0.22,1.58,0.42
48,2005,利津-河口,取水量,77.57,61.03,3.34,6.9,2.03,3.26,1.01,21.31,15.72,1.7,1.66,0.17,1.98,0.08
49,2005,利津-河口,耗水量,76.45,60.41,3.24,6.7,2.02,3.09,0.99,16.32,12.89,1.39,0.54,0.07,1.39,0.04
50,2005,黄河内流区,取水量,0.94,0.88,0.06,0.0,0.0,0.0,0.0,2.35,1.43,0.67,0.14,0.01,0.09,0.01
51,2005,黄河内流区,耗水量,0.8,0.75,0.05,0.0,0.0,0.0,0.0,1.88,1.17,0.55,0.08,0.01,0.06,0.01
52,2005,合计,取水量,332.01,260.21,20.62,32.36,5.05,10.96,2.81,133.0,66.15,11.05,33.07,4.19,16.95,1.59
53,2005,合计,耗水量,267.86,210.31,16.78,24.53,4.76,8.76,2.72,93.89,55.71,9.35,14.53,1.99,11.02,1.29
